Temperatura początkowa,Współczynnik chłodzenia,Liczba iteracji,Cmax (średnia)
1.0,0.9744444444444444,450,172.11
1.0,0.85,450,172.12
23.11111111111111,0.8811111111111111,450,172.12
67.33333333333333,0.8655555555555555,450,172.13
200.0,0.85,450,172.14
1.0,0.9588888888888889,450,172.15
23.11111111111111,0.85,450,172.15
23.11111111111111,0.8966666666666666,450,172.15
45.22222222222222,0.8966666666666666,400,172.15
155.77777777777777,0.8655555555555555,400,172.15
155.77777777777777,0.9122222222222222,450,172.15
177.88888888888889,0.9122222222222222,450,172.15
1.0,0.8655555555555555,400,172.16
1.0,0.8811111111111111,450,172.16
1.0,0.9122222222222222,450,172.16
1.0,0.99,450,172.16
23.11111111111111,0.9588888888888889,450,172.16
1.0,0.9277777777777778,450,172.17
23.11111111111111,0.9277777777777778,400,172.17
89.44444444444444,0.9122222222222222,450,172.17
89.44444444444444,0.8966666666666666,450,172.18
111.55555555555556,0.85,450,172.18
111.55555555555556,0.8655555555555555,450,172.18
133.66666666666666,0.85,400,172.18
133.66666666666666,0.8655555555555555,400,172.18
155.77777777777777,0.85,400,172.18
23.11111111111111,0.9122222222222222,450,172.19
45.22222222222222,0.8655555555555555,400,172.19
45.22222222222222,0.9277777777777778,450,172.19
45.22222222222222,0.9433333333333334,450,172.19
67.33333333333333,0.9433333333333334,450,172.19
89.44444444444444,0.8811111111111111,450,172.19
89.44444444444444,0.9433333333333334,450,172.19
133.66666666666666,0.85,450,172.19
155.77777777777777,0.85,450,172.19
155.77777777777777,0.8655555555555555,450,172.19
177.88888888888889,0.8811111111111111,450,172.19
177.88888888888889,0.9277777777777778,450,172.19
177.88888888888889,0.9433333333333334,400,172.19
1.0,0.8966666666666666,400,172.2
1.0,0.9744444444444444,400,172.2
23.11111111111111,0.85,400,172.2
23.11111111111111,0.8655555555555555,450,172.2
45.22222222222222,0.8966666666666666,450,172.2
67.33333333333333,0.85,400,172.2
67.33333333333333,0.85,450,172.2
67.33333333333333,0.9588888888888889,450,172.2
89.44444444444444,0.8811111111111111,400,172.2
111.55555555555556,0.9433333333333334,450,172.2
133.66666666666666,0.9122222222222222,400,172.2
155.77777777777777,0.8966666666666666,400,172.2
1.0,0.85,400,172.21
1.0,0.9122222222222222,400,172.21
1.0,0.9433333333333334,400,172.21
45.22222222222222,0.8655555555555555,450,172.21
45.22222222222222,0.8811111111111111,450,172.21
45.22222222222222,0.9122222222222222,400,172.21
67.33333333333333,0.9122222222222222,450,172.21
111.55555555555556,0.8811111111111111,400,172.21
133.66666666666666,0.8811111111111111,450,172.21
133.66666666666666,0.9122222222222222,450,172.21
177.88888888888889,0.8811111111111111,400,172.21
177.88888888888889,0.9122222222222222,400,172.21
200.0,0.8811111111111111,450,172.21
200.0,0.8966666666666666,400,172.21
200.0,0.9277777777777778,450,172.21
23.11111111111111,0.9433333333333334,450,172.22
67.33333333333333,0.8966666666666666,450,172.22
89.44444444444444,0.85,450,172.22
89.44444444444444,0.9744444444444444,450,172.22
111.55555555555556,0.8655555555555555,350,172.22
133.66666666666666,0.9277777777777778,450,172.22
155.77777777777777,0.9277777777777778,400,172.22
155.77777777777777,0.9277777777777778,450,172.22
177.88888888888889,0.9588888888888889,450,172.22
200.0,0.8966666666666666,450,172.22
1.0,0.85,350,172.23
23.11111111111111,0.8655555555555555,350,172.23
23.11111111111111,0.9122222222222222,400,172.23
45.22222222222222,0.9122222222222222,450,172.23
45.22222222222222,0.9277777777777778,400,172.23
67.33333333333333,0.9277777777777778,350,172.23
89.44444444444444,0.8655555555555555,450,172.23
111.55555555555556,0.85,400,172.23
111.55555555555556,0.8655555555555555,400,172.23
111.55555555555556,0.8811111111111111,450,172.23
133.66666666666666,0.8966666666666666,400,172.23
133.66666666666666,0.8966666666666666,450,172.23
155.77777777777777,0.85,350,172.23
155.77777777777777,0.8966666666666666,450,172.23
177.88888888888889,0.8655555555555555,400,172.23
200.0,0.9433333333333334,450,172.23
1.0,0.8811111111111111,400,172.24
1.0,0.9122222222222222,350,172.24
1.0,0.9744444444444444,350,172.24
23.11111111111111,0.9433333333333334,400,172.24
67.33333333333333,0.8655555555555555,400,172.24
89.44444444444444,0.8966666666666666,400,172.24
89.44444444444444,0.9122222222222222,400,172.24
89.44444444444444,0.9277777777777778,450,172.24
89.44444444444444,0.9588888888888889,450,172.24
111.55555555555556,0.8966666666666666,450,172.24
111.55555555555556,0.9122222222222222,400,172.24
111.55555555555556,0.9122222222222222,450,172.24
133.66666666666666,0.9433333333333334,450,172.24
155.77777777777777,0.8811111111111111,400,172.24
155.77777777777777,0.9744444444444444,450,172.24
177.88888888888889,0.85,450,172.24
177.88888888888889,0.8966666666666666,400,172.24
177.88888888888889,0.8966666666666666,450,172.24
177.88888888888889,0.9433333333333334,450,172.24
200.0,0.8966666666666666,350,172.24
1.0,0.8655555555555555,450,172.25
1.0,0.8966666666666666,450,172.25
1.0,0.9433333333333334,450,172.25
23.11111111111111,0.8655555555555555,400,172.25
23.11111111111111,0.9277777777777778,450,172.25
45.22222222222222,0.85,400,172.25
45.22222222222222,0.9588888888888889,450,172.25
89.44444444444444,0.9277777777777778,400,172.25
89.44444444444444,0.9433333333333334,400,172.25
133.66666666666666,0.9277777777777778,400,172.25
200.0,0.85,400,172.25
23.11111111111111,0.85,350,172.26
23.11111111111111,0.8966666666666666,400,172.26
45.22222222222222,0.9433333333333334,350,172.26
67.33333333333333,0.85,350,172.26
67.33333333333333,0.8655555555555555,350,172.26
111.55555555555556,0.8966666666666666,400,172.26
111.55555555555556,0.9277777777777778,400,172.26
111.55555555555556,0.9277777777777778,450,172.26
133.66666666666666,0.8811111111111111,350,172.26
155.77777777777777,0.8811111111111111,350,172.26
155.77777777777777,0.8811111111111111,450,172.26
177.88888888888889,0.8655555555555555,450,172.26
200.0,0.9122222222222222,450,172.26
200.0,0.9588888888888889,450,172.26
1.0,0.9277777777777778,350,172.27
1.0,0.9277777777777778,400,172.27
23.11111111111111,0.9433333333333334,350,172.27
45.22222222222222,0.85,450,172.27
45.22222222222222,0.8655555555555555,350,172.27
45.22222222222222,0.8811111111111111,400,172.27
67.33333333333333,0.8811111111111111,450,172.27
67.33333333333333,0.8966666666666666,400,172.27
67.33333333333333,0.9122222222222222,400,172.27
